SVSPP,SPECIES,CFDERRS.SPECIES,COMNAME
136,MICROPOGONIAS UNDULATUS,"CROAKER, ATLANTIC",ATLANTIC CROAKER
36,BREVOORTIA TYRANNUS,MENHADEN,ATLANTIC MENHADEN
141,CENTROPRISTIS STRIATA,"SEA BASS, BLACK",BLACK SEA BASS
146,MENTICIRRHUS SAXATILIS,NA,NORTHERN KINGFISH
654,SCIAENOPS OCELLATUS,"DRUM, RED",RED DRUM
143,STENOTOMUS CHRYSOPS ,SCUP,SCUP
745,SCOMBEROMORUS MACULATUS,"MACKEREL, SPANISH",SPANISH MACKEREL
149,LEIOSTOMUS XANTHURUS ,SPOT,SPOT
645,CYNOSCION NEBULOSUS,NA,SPOTTED SEATROUT
139,MORONE SAXATILIS,"BASS, STRIPED",STRIPED BASS
103,PARALICHTHYS DENTATUS,"FLOUNDER, SUMMER",SUMMER FLOUNDER
177,TAUTOGA ONITIS ,TAUTOG,TAUTOG
145,CYNOSCION REGALIS ,"WEAKFISH, SQUETEAGUE",WEAKFISH
106,PSEUDOPLEURONECTES AMERICANUS,"FLOUNDER, WINTER",WINTER FLOUNDER
33,ALOSA PSEUDOHARENGUS ,ALEWIFE,ALEWIFE
63,CONGER OCEANICUS,"EEL, CONGER",CONGER EEL
384,ANGUILLA ROSTRATA,"EEL, AMERICAN",AMERICAN EEL
35,ALOSA SAPIDISSIMA,"SHAD, AMERICAN",AMERICAN SHAD
894,SALMO SALAR,NA,ATLANTIC SALMON
380,ACIPENSER OXYRHYNCHUS,NA,ATLANTIC STURGEON
34,ALOSA AESTIVALIS ,NA,BLUEBACK HERRING
37,ALOSA MEDIOCRIS,"SHAD, HICKORY",HICKORY SHAD
45,OSMERUS MORDAX,NA,RAINBOW SMELT
379,ACIPENSER BREVIROSTRUM,NA,SHORTNOSE STURGEON
22,DIPTURUS LAEVIS,"SKATE, BARNDOOR",BARNDOOR SKATE
24,RAJA EGLANTERIA,"SKATE, CLEARNOSE",CLEARNOSE SKATE
3,CARCHARHINUS OBSCURUS,NA,DUSKY SHARK
26,LEUCORAJA ERINACEA,"SKATE, LITTLE",LITTLE SKATE
353,LAMNA NASUS,"SHARK, PORBEAGLE",PORBEAGLE SHARK
25,LEUCORAJA GARMANI,NA,ROSETTE SKATE
12,CARCHARIAS TAURUS,NA,SAND TIGER
13,MUSTELUS CANIS,DOGFISH SMOOTH,SMOOTH DOGFISH
27,MALACORAJA SENTA,"SKATE, SMOOTH",SMOOTH SKATE
15,SQUALUS ACANTHIAS,DOGFISH SPINY,SPINY DOGFISH
28,AMBLYRAJA RADIATA,"SKATE, THORNY",THORNY SKATE
23,LEUCORAJA OCELLATA,"SKATE, WINTER(BIG)",WINTER SKATE
155,SEBASTES FASCIATUS,REDFISH,ACADIAN REDFISH
102,HIPPOGLOSSOIDES PLATESSOIDES,"FLOUNDER, AM. PLAICE",AMERICAN PLAICE
73,GADUS MORHUA,COD,ATLANTIC COD
1,MYXINE GLUTINOSA,HAGFISH,ATLANTIC HAGFISH
101,HIPPOGLOSSUS HIPPOGLOSSUS,"HALIBUT, ATLANTIC",ATLANTIC HALIBUT
192,ANARHICHAS LUPUS,NA,ATLANTIC WOLFFISH
84,BROSME BROSME ,CUSK,CUSK
74,MELANOGRAMMUS AEGLEFINUS ,HADDOCK,HADDOCK
